City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
266,Lompoc,US,2021-04-10 02:59:01,34.6391,-120.4579,284.15,82,2,7.72
267,Barreiras,BR,2021-04-10 03:03:40,-12.1528,-44.99,296.12,70,90,0.96
268,Belle Fourche,US,2021-04-10 03:03:41,44.6714,-103.8522,275.93,80,1,5.66
269,Mount Gambier,AU,2021-04-10 03:03:41,-37.8333,140.7667,286.15,71,75,10.8
270,Tura,IN,2021-04-10 02:58:36,25.5198,90.2201,302.1,48,7,2.35
271,Kamphaeng Phet,TH,2021-04-10 03:03:41,16.25,99.5,306.61,40,74,1.96
272,Hervey Bay,AU,2021-04-10 03:03:42,-25.2986,152.8535,305.15,29,0,1.54
273,Zamora,EC,2021-04-10 02:59:15,-4.0692,-78.9567,292.59,97,88,1.02
274,Tagcatong,PH,2021-04-10 03:03:42,9.0022,125.2569,301.52,69,27,2.73
275,Vila Velha,BR,2021-04-10 02:56:42,-20.3297,-40.2925,296.48,78,40,2.06
276,Hamilton,US,2021-04-10 02:56:55,39.1834,-84.5333,291.48,59,20,2.22
277,Mayo,US,2021-04-10 03:03:42,38.8876,-76.5119,287.04,94,90,3.09
278,Te Anau,NZ,2021-04-10 02:58:40,-45.4167,167.7167,283.58,94,100,0.6
279,Clyde River,CA,2021-04-10 02:58:38,70.4692,-68.5914,259.15,85,75,4.12
280,Humaita,BR,2021-04-10 03:03:43,-7.5061,-63.0208,296.02,98,100,0.77
281,Makakilo City,US,2021-04-10 03:03:43,21.3469,-158.0858,299.15,47,1,4.63
282,Lanzhou,CN,2021-04-10 03:03:43,36.0564,103.7922,281.15,71,40,5.0
283,Kavaratti,IN,2021-04-10 02:58:07,10.5669,72.642,301.1,67,31,1.47
284,Pangnirtung,CA,2021-04-10 02:58:53,66.1451,-65.7125,263.15,85,90,2.57
285,Zhaodong,CN,2021-04-10 03:03:44,46.0833,125.9833,289.82,30,0,6.0
286,Guerrero Negro,MX,2021-04-10 02:59:07,27.9769,-114.0611,288.57,84,27,7.64
287,Ewa Beach,US,2021-04-10 03:03:44,21.3156,-158.0072,299.15,47,1,4.63
288,Vao,NC,2021-04-10 02:58:20,-22.6667,167.4833,297.29,92,100,5.89
289,Thompson,CA,2021-04-10 02:57:22,55.7435,-97.8558,275.15,80,20,3.6
290,Bani,DO,2021-04-10 03:03:45,18.2833,-70.3333,297.59,76,99,1.79
291,Caceres,ES,2021-04-10 03:02:23,39.522,-6.3748,284.82,91,27,0.45
